genus,root_diameter_mean,SRL_mean,RTD_mean,root_N_mean,root_P_mean,mycorrhizal_colonization_mean,EcoBank_amf_richness_mean,GlobalAMFungi_amf_richness_mean,EcoBank_prop_cult_mean,EcoBank_prop_ancestral_mean,EcoBank_prop_edaphophilic_mean,EcoBank_prop_rhizophilic_mean,n_species,n_fred_records,n_species_in_ecobank,n_species_in_globalamfungi
abies,0.5156562489444444,29.184819252166665,0.26201960766666665,12.79401933207819,1.0962353751805554,,,,,,,,25,380.0,0,0
abildgaardia,,,,,,25.86,,,,,,,1,1.0,0,0
abolboda,,,,,,,,,,,,,1,1.0,0,0
abronia,,,,,,,,,,,,,4,5.0,0,0
abrus,,,,,,90.32,,,,,,,1,1.0,0,0
abutilon,,,,,,44.44,,,,,,,1,1.0,0,0
acacia,0.4161412136969697,60.468194505497074,0.31444444444444447,19.424904511785712,3.646902962962962,52.84400000000001,15.791666666666668,,25.330604086458337,0.2682096924166667,0.2560011685,95.23882289541666,16,135.0,2,0
acaena,,,,,,,,,,,,,1,2.0,0,0
acalypha,,,,,,42.96333333333333,,,,,,,6,6.0,0,0
acamptopappus,,,,,,,,,,,,,2,5.0,0,0
acanthocladus,,,,,,,,,,,,,1,1.0,0,0
acantholimon,,,,,,,,,,,,,1,1.0,0,0
acanthophyllum,,,,,,,,,,,,,4,5.0,0,0
acanthosicyos,,,,,,,,,,,,,1,4.0,0,0
acer,0.4211635750287548,61.03378646274115,0.2897769031957178,15.11314979991812,1.1299618030541505,38.114121092017854,8.5,48.57586206896552,46.434650754500005,1.9083969465,0.0,98.0916030525,28,1385.0,1,2
achillea,0.4237959033,239.57378596750002,0.15589581479999998,18.8501272154,,,25.272727272727273,168.36923076923077,31.849287864181818,0.12820107463636363,0.12057159099999999,98.85671347545454,10,60.0,1,1
achnatherum,0.16515,82.3075,,,,7.77,,,,,,,2,19.0,0,0
achyranthes,,,,,,11.76,,,,,,,1,1.0,0,0
achyropsis,,,,,,,,,,,,,1,1.0,0,0
acinos,,,,,,,31.25,,20.2689486005,4.570422378,0.160310813,93.88991286,1,0.0,1,0
aciphylla,,56.89670301833333,,13.21077367,,,,,,,,,1,3.0,0,0
ackama,0.3606384615384615,51.988595037692306,0.19962582592307693,14.9,,,,,,,,,1,13.0,0,0
acmispon,,26.379795174500003,,22.0719409,,,,,,,,,2,9.0,0,0
aconitum,,,,,,,,,,,,,3,15.0,0,0
aconogonon,,,,,,,5.0,,0.0,0.0,0.0,100.0,1,0.0,1,0
acorus,,,,,,,,,,,,,1,1.0,0,0
acosmium,,,,,,,,,,,,,1,30.0,0,0
acourtia,,,,,,,,,,,,,1,2.0,0,0
acronychia,0.5239359681,33.1925249882,0.2930184209,16.658125,0.5433333333333334,58.0,,,,,,,1,16.0,0,0
acrospelion,,,,,,,,,,,,,1,1.0,0,0
actaea,0.26705,117.113061725,0.2376004,17.263182335,,,15.0,,64.14565826,1.120448179,0.0,98.87955182,2,6.0,1,0
actinidia,0.23,224.5237681,0.1078125,24.905621,,,,,,,,,1,1.0,0,0
actinodaphne,0.7845666666666666,7.258719185333334,0.329182463,15.83,0.39,,,,,,,,1,3.0,0,0
actinotus,,,,,,,10.4,6.666666666666667,1.7768908937999999,0.5064825602,0.0,99.406862328,1,0.0,1,1
adansonia,0.7033,3.403274688,0.474756691,9.181354842,,,,,,,,,1,5.0,0,0
adenanthera,,,,,,27.16542857142857,,,,,,,1,36.0,0,0
adenanthos,,,,,,,,,,,,,2,2.0,0,0
adenium,,,,,,,,,,,,,1,3.0,0,0
adenocaulon,0.1734,192.9116901,0.221875,18.42205767,,,,,,,,,1,1.0,0,0
adenopeltis,,,,,,,,,,,,,1,1.0,0,0
adenophora,,,,,,,,,,,,,1,5.0,0,0
adenostoma,,,,,,,,,,,,,2,11.0,0,0
adenostyles,,,,,,,,,,,,,1,1.0,0,0
adesmia,,10.09,0.104,22.4,,15.0,,,,,,,6,9.0,0,0
adiantum,0.3863846492,125.85553090199998,0.12480980639999999,13.013953387,,,,,,,,,1,5.0,0,0
adina,0.14601999999999998,340.11593750000003,0.20214285699999998,18.600179,,55.0,,,,,,,2,2.0,0,0
adinandra,0.45,218.0,,9.133333333333335,0.2916666666666667,,,3.6,,,,,2,11.0,0,1
adonis,,,,,,,,,,,,,3,9.0,0,0
adoxa,,,,,,,,,,,,,1,5.0,0,0
aegilops,,,,,,,,,,,,,4,11.0,0,0
aegopodium,,,,,,,13.285714285714286,,32.24328233885714,2.969853400142857,0.0,87.47551576000001,2,23.0,1,0
aerva,,,,,,,,,,,,,1,4.0,0,0
aesculus,0.52523383375,20.56995035125,0.1883125,10.272015625,,,,,,,,,3,12.0,0,0
aethionema,,,,,,,,,,,,,1,1.0,0,0
aethusa,,,,,,,,,,,,,1,1.0,0,0
afrocarpus,0.76,11.56,0.31,,,,,,,,,,1,1.0,0,0
agastache,0.42,63.5,0.18,,,,,,,,,,1,2.0,0,0
agathis,0.6538258024444444,13.312261663977779,0.2469603764666667,7.198914175666666,,,,,,,,,3,27.0,0,0
agave,0.5127659574468085,,,,,,,,,,,,3,62.0,0,0
ageratina,0.23864,,0.161433,,,,,,,,,,1,1.0,0,0
ageratum,,,,,,,11.5,8.0,3.1976744175,0.38759689925,0.38759689925,74.1538377545,2,1.0,1,1
aglaia,0.9307,8.5348429855,0.44747337575,15.56019505,,,,,,,,,4,8.0,0,0
agoseris,,157.41232818666666,,8.852539063,,,,,,,,,2,5.0,0,0
agouticarpa,0.75,3.34,0.475,,,,,,,,,,1,1.0,0,0
agrimonia,1.5461834545000002,138.05138446,0.20590234841666666,24.987996835,,,,,,,,,2,13.0,0,0
agriophyllum,,23.598,,10.562000000000001,,,,,,,,,1,7.0,0,0
agropyron,0.15286738033333333,72.3133506096875,0.135,9.49900520388889,1.255,12.920000000000002,39.875,12.875,37.8678238325,0.07127737,0.072312425,99.15145328375,5,69.0,1,1
agrostemma,,,,,,,,,,,,,1,2.0,0,0
agrostis,0.5154412733333333,271.46107331670834,0.16167358762987014,10.93125,1.2433333333333332,28.189999999999998,27.347222222222225,15.333333333333332,22.717784857416664,2.9963061325694444,0.6695058684305555,95.79259136291667,8,214.0,3,2
aidia,0.3123985762,58.908,0.7995176664,,,,,,,,,,1,5.0,0,0
ailanthus,0.9709777780000001,3.05944113575,0.36353197433333334,12.820793018466667,1.5883333333333334,,,,,,,,2,9.0,0,0
ainsliaea,,,,,,,23.5,7.083333333333333,23.320345198125,0.849100248875,2.2378757905,96.710436285,2,0.0,2,2
aiouea,0.685033333,13.82465583,0.197806354,29.81628,1.146035529,,,,,,,,1,1.0,0,0
aira,0.22799999999999998,760.85,,,,,,,,,,,2,6.0,0,0
aizoanthemopsis,,,,,,,,,,,,,1,3.0,0,0
aizoon,,,,,,,,,,,,,1,4.0,0,0
ajania,,4.581189543500001,,10.3,1.51,,7.833333333333333,,52.98209034566667,0.0,3.9620170266666666,96.03798297333333,4,3.0,3,0
ajuga,,,,,,,16.75,58.5,32.724440580999996,12.191322261,0.14690170425000001,87.661776035,5,15.0,1,1
akebia,,4.9350182555,,12.2,1.87,,,,,,,,1,2.0,0,0
alangium,0.09315,169.91,0.32,18.73,,25.0,,,,,,,1,1.0,0,0
albizia,,0.9960716875,,,,,,,,,,,5,41.0,0,0
alcea,,,,,,,,,,,,,2,2.0,0,0
alchemilla,1.52474036,357.17363095,0.1501115553333333,8.78,,,,,,,,,17,50.0,0,0
alchornea,0.3811272727727273,71.50069528799999,0.27902932204545455,20.7574095,1.1440000000000001,,,,,,,,2,18.0,0,0
alectryon,0.464925,36.83291825,0.17519188775,21.7,,,,,,,,,1,4.0,0,0
aleurites,1.0999999999999999,6.900000000000001,,,,,,,,,,,1,18.0,0,0
alhagi,1.59,,,17.1075,,,,,,,,,2,22.0,0,0
alibertia,0.6719999999999999,6.57,0.4065,,,,,,,,,,2,2.0,0,0
alisma,,,,,,,,,,,,,2,4.0,0,0
allantoma,0.397,17.14,0.421,,,,,,,,,,1,1.0,0,0
allardia,,,,,,,,,,,,,1,1.0,0,0
allenrolfea,,,,,,,,,,,,,1,2.0,0,0
alliaria,0.1672,512.69283768,,,,,,,,,,,1,5.0,0,0
allionia,,,,,,,,,,,,,1,1.0,0,0
allium,1.057174986982143,75.5564993625,0.1362138558,14.663333333333334,,50.557,21.535714285714285,48.333333333333336,29.78652891630357,0.33238457125000004,0.06979762180357142,98.06297181821428,39,100.0,7,2
allocasuarina,,,,,,,,,,,,,3,3.0,0,0
allochrusa,,,,,,,,,,,,,1,1.0,0,0
allophylus,0.4313475,42.809999999999995,0.505,14.88,,23.0,,,,,,,2,7.0,0,0
alloteropsis,,,,,,68.63,,,,,,,2,2.0,0,0
alniphyllum,0.3102709522857143,75.54141469285715,0.19214285716666668,19.1013471675,,33.99221221833333,,3.5,,,,,1,13.0,0,1
alnus,0.43132447315,52.6181814958875,0.406274606,13.10415244799,1.5848584596666668,35.237500000000004,,33.59375,,,,,8,136.0,0,1
alocasia,,,,,,,,,,,,,1,1.0,0,0
aloe,,,,,,45.38,,,,,,,2,5.0,0,0
alopecurus,0.9535974033333332,208.84198956928572,0.14413688716869918,9.9125,1.7,,13.75,3.0,18.872474809499998,0.825471698,1.15606936425,83.5313407825,11,137.0,1,1
alphitonia,,,,,,,5.0,,0.127877238,0.0,0.0,99.87212276,1,0.0,1,0
alpinia,0.16895,246.0725,0.177777778,13.70738667,,,,,,,,,1,1.0,0,0
alseis,1.1572330309,7.173779952249999,0.2752988461,15.807559662500001,0.51930574845,70.71428571428571,,4.166666666666667,,,,,1,20.0,0,1
alseodaphnopsis,0.835,3.770542248,0.525046436,11.056666666666667,0.4458333333333333,,,,,,,,2,7.0,0,0
alsophila,0.6241416666666666,15.45859328384524,0.23495617975000002,9.5,,,,,,,,,2,13.0,0,0
alstonia,0.5445333335,21.44372144,0.1530638535,20.289152805,,60.0,,,,,,,1,3.0,0,0
alternanthera,0.292,46.03,,9.62,,,,,,,,,1,2.0,0,0
alysicarpus,,,,,,90.36,,,,,,,1,1.0,0,0
alyssum,,,,,,,,,,,,,5,16.0,0,0
amaioua,0.48250000000000004,13.07,0.473,,,,,,,,,,2,2.0,0,0
amaranthus,0.18141000000000002,,0.512907,,,,,,,,,,5,9.0,0,0
amberboa,,,,,,,,,,,,,1,1.0,0,0
ambrosia,0.283,103.93470807333333,0.226794,13.9994735,,,,,,,,,6,32.0,0,0
amelanchier,0.376066667,20.87559975,0.503968254,,,,,,,,,,4,5.0,0,0
ammodendron,,,,,,,,,,,,,1,2.0,0,0
ammophila,,,,,,,,58.61904761904762,,,,,1,0.0,0,1
ammopiptanthus,,,,,,,,,,,,,1,1.0,0,0
amorpha,0.1938,45.0,0.585778,26.666666666666668,,,,,,,,,2,14.0,0,0
ampelocera,,,,,,,,,,,,,1,42.0,0,0
amphibromus,,121.0361332754762,0.083984375,,,,,,,,,,1,86.0,0,0
