model_family,model_scope,outcome,trait,formula,estimator,N,beta,se,p_value,ci_low,ci_high,aic_or_na,r2_or_na,var_study_or_na,var_species_or_na,note
primary_seq,pooled,log_richness,Root diameter,log_richness ~ Q('Root diameter') + log_total_reads + MAT + MAP + C(source) + woody_binary,OLS_cluster_study,750,-0.2872673986275666,0.19596349859432882,0.14266926680204006,-0.6713487981569166,0.09681400090178338,566.0061071087164,0.9429729002748883,,,Singular matrix
primary_genus,pooled,log_genus_richness,Root diameter,log_genus_richness ~ Q('Root diameter') + log_total_reads + MAT + MAP + C(source) + woody_binary,OLS_cluster_study,481,-0.3042947981687078,0.2831070738168355,0.2824463828193676,-0.8591744666182279,0.2505848702808123,214.40894924107374,0.3790142473553564,,,Singular matrix
interaction_seq,pooled,log_richness,Root diameter,log_richness ~ Q('Root diameter') * woody_binary + log_total_reads + MAT + MAP + C(source),OLS_cluster_study,750,-0.14363369931383135,0.09804775250392844,0.14293833256245192,-0.335803762986628,0.0485363643589653,566.0061071087162,0.9429729002748883,,,Singular matrix
residual_seq,pooled,richness_resid_seq,Root diameter,richness_resid_seq ~ Q('Root diameter') + MAT + MAP + C(source) + woody_binary,OLS_cluster_study,481,-0.44415268102269145,0.33275965498913734,0.18195647936287385,-1.0963496203093748,0.20804425826399187,417.81499687940436,0.03260201048545608,,,Singular matrix
residual_genus,pooled,richness_resid_genus,Root diameter,richness_resid_genus ~ Q('Root diameter') + MAT + MAP + C(source) + woody_binary,OLS_cluster_study,481,-0.3065072929489422,0.28180139951720834,0.276740244554755,-0.8588278867956535,0.2458133008977691,212.73400107438783,0.1897722863732213,,,Singular matrix
primary_seq,source=EcoBank,log_richness,Root diameter,log_richness ~ Q('Root diameter') + log_total_reads + MAT + MAP + woody_binary,OLS_cluster_study,269,0.012678746443846341,0.011928650678976933,0.28783552947243496,-0.01070097927110771,0.03605847215880039,-1264.8750519528041,0.9985231484975068,,,Singular matrix
primary_seq,source=GlobalAMFungi,log_richness,Root diameter,log_richness ~ Q('Root diameter') + log_total_reads + MAT + MAP + woody_binary,OLS_cluster_study,481,-0.4159759162876604,0.33820332719330615,0.21871280160819007,-1.0788422570381564,0.2468904244628355,384.114567830219,0.9596306246915147,,,Singular matrix
primary_seq,pooled,log_richness,Root tissue density (RTD),log_richness ~ Q('Root tissue density (RTD)') + log_total_reads + MAT + MAP + C(source) + woody_binary,OLS_cluster_study,495,-0.03967759740791856,0.2299290619606747,0.8629937451262373,-0.4903302778499195,0.4109750830340824,290.8078157585918,0.9409097138470954,,,Singular matrix
primary_genus,pooled,log_genus_richness,Root tissue density (RTD),log_genus_richness ~ Q('Root tissue density (RTD)') + log_total_reads + MAT + MAP + C(source) + woody_binary,OLS_cluster_study,304,0.07474632365684213,0.24542002654387837,0.760697563163909,-0.40626808945402354,0.5557607367677078,70.50245965853776,0.4307789339620598,,,Singular matrix
interaction_seq,pooled,log_richness,Root tissue density (RTD),log_richness ~ Q('Root tissue density (RTD)') * woody_binary + log_total_reads + MAT + MAP + C(source),OLS_cluster_study,495,-0.019838798703853154,0.11508250384972676,0.8631328059212057,-0.24539636150000974,0.2057187640923034,290.8078157585918,0.9409097138470954,,,Singular matrix
residual_seq,pooled,richness_resid_seq,Root tissue density (RTD),richness_resid_seq ~ Q('Root tissue density (RTD)') + MAT + MAP + C(source) + woody_binary,OLS_cluster_study,304,-0.0920431109382091,0.2982017628350085,0.7575797793801714,-0.6765078262211806,0.4924216043447623,209.00309177124666,0.07311857975988723,,,Singular matrix
residual_genus,pooled,richness_resid_genus,Root tissue density (RTD),richness_resid_genus ~ Q('Root tissue density (RTD)') + MAT + MAP + C(source) + woody_binary,OLS_cluster_study,304,0.0684646751457373,0.2456858962162356,0.7805000040224681,-0.41307083294753005,0.5500001832390047,78.47787634697079,0.2736581324648947,,,Singular matrix
primary_seq,source=EcoBank,log_richness,Root tissue density (RTD),log_richness ~ Q('Root tissue density (RTD)') + log_total_reads + MAT + MAP + woody_binary,OLS_cluster_study,191,0.027912899226572113,0.025622459204709378,0.2759811067991026,-0.022306198010005066,0.07813199646314929,-908.9642192208798,0.9984365270472071,,,Singular matrix
primary_seq,source=GlobalAMFungi,log_richness,Root tissue density (RTD),log_richness ~ Q('Root tissue density (RTD)') + log_total_reads + MAT + MAP + woody_binary,OLS_cluster_study,304,-0.07801261063662818,0.2888112878578017,0.7870708512973962,-0.6440723331665497,0.48804711189329336,177.3379125289522,0.9615683182975828,,,Singular matrix
